Country Name,Country Code,Series Name,Series Code,2020 _YR2020_,2021 _YR2021_,2022 _YR2022_,2023 _YR2023_,2024 _YR2024_
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,37994,38353,38912,39502,40054
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,16911493,17455057,18008613,18568216,19138383
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,48179,48430,48670,48908,49139
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,218890065,222606670,227614565,232530263,237040822
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,22772481,22834166,22880775,22941417,23015446
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1592424,1591948,1594364,1603490,1590629
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,57382,56900,56652,56653,56697
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,12922405,12940520,13106508,13432181,13559193
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4530017,4549341,4592386,4637070,4629669
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,5156200,5176589,5175175,5178464,5210402
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,205987,206455,207295,208531,209686
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,554866,571651,579797,598073,613257
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,84419144,85086513,85985502,87109279,88218708
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,146596,146790,146907,146972,147044
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,5007632,4967859,4928161,4900868,4870374
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5847609,5873102,5923682,5977124,5986131
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,194048,196444,199820,203619,206630
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,6523643,6692742,6863042,7036429,7210159
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,32711,32916,33016,33018,33017
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,356798,359754,362724,365702,368477
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,5876234,5947416,6023404,6108428,6194100
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1730652,1701558,1680628,1670406,1658459
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,1185077,1202318,1221897,1243275,1264574
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,105816369,106313829,106757480,107227668,107703455
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,19676,20078,20316,20572,20779
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,209300,211320,213203,215060,217022
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3574351,3547246,3427234,3326573,3307237
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,10785623,11041607,11297679,11557013,11818695
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,6352087,6526617,6704830,6889475,7069192
Cabo Verde,CPV,"Population, female",SP.POP.TOTL.FE.IN,252892,253761,255331,256640,257930
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,8544837,8667395,8779871,8889929,8995814
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,13146018,13500426,13860475,14232102,14609403
